ad_id,ad_group_id,ad_group_name,headlines,descriptions,final_url,display_url,status
ad_ad_group_001_1,ad_group_001,Zomato_Brand_Keywords,Zomato Food Delivery India Services | Best Zomato Food Delivery India Near You | Professional Zomato Food Delivery India,"Get professional zomato food delivery india services. Fast, reliable, and affordable. Contact us today! | Expert zomato food delivery india solutions. Free consultation available. Call now for best rates.",https://www.zomato.com/,zomato.com/services,active
ad_ad_group_001_2,ad_group_001,Zomato_Brand_Keywords,Zomato Food Delivery India Services | Best Zomato Food Delivery India Near You | Professional Zomato Food Delivery India,"Get professional zomato food delivery india services. Fast, reliable, and affordable. Contact us today! | Expert zomato food delivery india solutions. Free consultation available. Call now for best rates.",https://www.zomato.com/,zomato.com/services,active
ad_ad_group_001_3,ad_group_001,Zomato_Brand_Keywords,Zomato Food Delivery India Services | Best Zomato Food Delivery India Near You | Professional Zomato Food Delivery India,"Get professional zomato food delivery india services. Fast, reliable, and affordable. Contact us today! | Expert zomato food delivery india solutions. Free consultation available. Call now for best rates.",https://www.zomato.com/,zomato.com/services,active
ad_ad_group_002_1,ad_group_002,Zomato_online_food_ordering_Category,Online Food Ordering Services | Best Online Food Ordering Near You | Professional Online Food Ordering,"Get professional online food ordering services. Fast, reliable, and affordable. Contact us today! | Expert online food ordering solutions. Free consultation available. Call now for best rates.",https://www.zomato.com/,zomato.com/services,active
ad_ad_group_002_2,ad_group_002,Zomato_online_food_ordering_Category,Online Food Ordering Services | Best Online Food Ordering Near You | Professional Online Food Ordering,"Get professional online food ordering services. Fast, reliable, and affordable. Contact us today! | Expert online food ordering solutions. Free consultation available. Call now for best rates.",https://www.zomato.com/,zomato.com/services,active
ad_ad_group_002_3,ad_group_002,Zomato_online_food_ordering_Category,Online Food Ordering Services | Best Online Food Ordering Near You | Professional Online Food Ordering,"Get professional online food ordering services. Fast, reliable, and affordable. Contact us today! | Expert online food ordering solutions. Free consultation available. Call now for best rates.",https://www.zomato.com/,zomato.com/services,active
ad_ad_group_003_1,ad_group_003,Zomato_Competitor_compare_food_deliver,Compare Food Delivery Apps India Services | Best Compare Food Delivery Apps India Near You | Professional Compare Food Delivery Apps India,"Get professional compare food delivery apps India services. Fast, reliable, and affordable. Contact us today! | Expert compare food delivery apps India solutions. Free consultation available. Call now for best rates.",https://www.zomato.com/,zomato.com/services,active
ad_ad_group_003_2,ad_group_003,Zomato_Competitor_compare_food_deliver,Compare Food Delivery Apps India Services | Best Compare Food Delivery Apps India Near You | Professional Compare Food Delivery Apps India,"Get professional compare food delivery apps India services. Fast, reliable, and affordable. Contact us today! | Expert compare food delivery apps India solutions. Free consultation available. Call now for best rates.",https://www.zomato.com/,zomato.com/services,active
ad_ad_group_003_3,ad_group_003,Zomato_Competitor_compare_food_deliver,Compare Food Delivery Apps India Services | Best Compare Food Delivery Apps India Near You | Professional Compare Food Delivery Apps India,"Get professional compare food delivery apps India services. Fast, reliable, and affordable. Contact us today! | Expert compare food delivery apps India solutions. Free consultation available. Call now for best rates.",https://www.zomato.com/,zomato.com/services,active
ad_ad_group_004_1,ad_group_004,Zomato_Location_food_delivery_near_m,Food Delivery Near Me Services | Best Food Delivery Near Me Near You | Professional Food Delivery Near Me,"Get professional food delivery near me services. Fast, reliable, and affordable. Contact us today! | Expert food delivery near me solutions. Free consultation available. Call now for best rates.",https://www.zomato.com/,zomato.com/services,active
ad_ad_group_004_2,ad_group_004,Zomato_Location_food_delivery_near_m,Food Delivery Near Me Services | Best Food Delivery Near Me Near You | Professional Food Delivery Near Me,"Get professional food delivery near me services. Fast, reliable, and affordable. Contact us today! | Expert food delivery near me solutions. Free consultation available. Call now for best rates.",https://www.zomato.com/,zomato.com/services,active
ad_ad_group_004_3,ad_group_004,Zomato_Location_food_delivery_near_m,Food Delivery Near Me Services | Best Food Delivery Near Me Near You | Professional Food Delivery Near Me,"Get professional food delivery near me services. Fast, reliable, and affordable. Contact us today! | Expert food delivery near me solutions. Free consultation available. Call now for best rates.",https://www.zomato.com/,zomato.com/services,active
ad_ad_group_005_1,ad_group_005,Zomato_LongTail_best_food_delivery_a,Best Food Delivery App Services | Best Best Food Delivery App Near You | Professional Best Food Delivery App,"Get professional best food delivery app services. Fast, reliable, and affordable. Contact us today! | Expert best food delivery app solutions. Free consultation available. Call now for best rates.",https://www.zomato.com/,zomato.com/services,active
ad_ad_group_005_2,ad_group_005,Zomato_LongTail_best_food_delivery_a,Best Food Delivery App Services | Best Best Food Delivery App Near You | Professional Best Food Delivery App,"Get professional best food delivery app services. Fast, reliable, and affordable. Contact us today! | Expert best food delivery app solutions. Free consultation available. Call now for best rates.",https://www.zomato.com/,zomato.com/services,active
ad_ad_group_005_3,ad_group_005,Zomato_LongTail_best_food_delivery_a,Best Food Delivery App Services | Best Best Food Delivery App Near You | Professional Best Food Delivery App,"Get professional best food delivery app services. Fast, reliable, and affordable. Contact us today! | Expert best food delivery app solutions. Free consultation available. Call now for best rates.",https://www.zomato.com/,zomato.com/services,active
